alert_a,alert_b,label
2178597,2178598,1
2183275,2183280,1
2183275,2183283,1
2183277,2183279,1
2183281,2183283,1
2183278,2183279,1
2183275,2183281,1
2183282,2183283,1
2183277,2183283,1
2183279,2183281,1
2183278,2183283,1
656465,656466,1
656465,656467,1
656466,656467,1
2226692,2226695,1
2226694,2226696,1
2226692,2226697,1
2226693,2226695,1
2226695,2226697,1
2226694,2226695,1
2226696,2226697,1
2226692,2226696,1
2226695,2226696,1
2226693,2226697,1
20697,20698,1
20697,20699,1
20697,20700,1
20698,20699,1
20698,20700,1
20699,20700,1
32490,32494,1
32488,32489,1
32489,32493,1
32489,32492,1
32494,32495,1
32489,32495,1
32491,32492,1
32493,32494,1
32488,32494,1
32490,32491,1
2155847,2155858,1
2155854,2155857,1
2155848,2155859,1
2155845,2155849,1
2155850,2155858,1
2155849,2155856,1
2155843,2155852,1
2155853,2155855,1
2155853,2155854,1
2155844,2155857,1
2219464,2219465,1
2213659,2213660,1
2213659,2213661,1
2213659,2213662,1
2213659,2213663,1
2213660,2213661,1
2213660,2213662,1
2213660,2213663,1
2213661,2213662,1
2213661,2213663,1
2213662,2213663,1
2203719,2203841,1
2203737,2203861,1
2203800,2203884,1
2203788,2203803,1
2203990,2204007,1
2203931,2203962,1
2203738,2203866,1
2203807,2203897,1
2203749,2203765,1
2203887,2203976,1
611772,611773,1
611772,611774,1
611772,611775,1
611772,611776,1
611773,611774,1
611773,611775,1
611773,611776,1
611774,611775,1
611774,611776,1
611775,611776,1
622640,622645,1
622640,622641,1
622631,622635,1
622632,622650,1
622633,622644,1
622643,622650,1
622630,622640,1
622635,622636,1
622635,622649,1
622641,622644,1
2297268,2297269,1
8142,8143,1
8142,8144,1
8143,8144,1
2226253,2226254,1
2226253,2226255,1
2226254,2226255,1
2158351,2158352,1
2209994,2209995,1
661827,661828,1
2179186,2179214,1
2179194,2179209,1
2179190,2179211,1
2179185,2179189,1
2179199,2179212,1
2179181,2179205,1
2179185,2179201,1
2179193,2179201,1
2179183,2179195,1
2179182,2179207,1
2223775,2223776,1
2223775,2223777,1
2223775,2223778,1
2223775,2223779,1
2223776,2223777,1
2223776,2223778,1
2223776,2223779,1
2223777,2223778,1
2223777,2223779,1
2223778,2223779,1
7368,7369,1
653829,653830,1
653829,653831,1
653829,653832,1
653830,653831,1
653830,653832,1
653831,653832,1
2165207,2165208,1
614431,614447,1
614428,614443,1
614438,614452,1
614428,614452,1
614433,614445,1
614427,614452,1
614432,614449,1
614437,614447,1
614440,614447,1
614444,614448,1
2971,2972,1
2159803,2159804,1
2240120,2240122,1
2240117,2240118,1
2240118,2240121,1
2240120,2240121,1
2240118,2240120,1
2240119,2240121,1
2240118,2240119,1
2240117,2240122,1
2240118,2240122,1
2240117,2240121,1
2218348,2218349,1
665791,665792,1
2213198,2213199,1
2213198,2213200,1
2213199,2213200,1
668132,668140,1
668134,668138,1
668138,668142,1
668122,668142,1
668134,668141,1
668118,668142,1
668116,668125,1
668129,668135,1
668118,668134,1
668133,668137,1
659611,659612,1
659611,659613,1
659612,659613,1
651047,651048,1
2264463,2264464,1
2264463,2264465,1
2264463,2264466,1
2264464,2264465,1
2264464,2264466,1
2264465,2264466,1
2186802,2186803,1
2193417,2193418,1
2193417,2193421,1
2193416,2193419,1
2193419,2193421,1
2193418,2193419,1
2193417,2193420,1
2193420,2193421,1
2193418,2193421,1
2193416,2193420,1
2193418,2193420,1
2231889,2231890,1
2235767,2235768,1
2220894,2220895,1
2206407,2206408,1
2206409,2206410,1
2206407,2206411,1
2206407,2206410,1
2206410,2206411,1
2206408,2206409,1
2206408,2206412,1
2206409,2206412,1
2206408,2206411,1
2206407,2206409,1
2172430,2172431,1
2299901,2299902,1
2299901,2299903,1
2299901,2299904,1
2299902,2299903,1
2299902,2299904,1
2299903,2299904,1
2256192,2256193,1
2256192,2256194,1
2256192,2256195,1
2256193,2256194,1
2256193,2256195,1
2256194,2256195,1
642576,642577,1
24628,24629,1
2194313,2194314,1
2196242,2196244,1
2196244,2196246,1
2196243,2196248,1
2196244,2196248,1
2196245,2196247,1
2196241,2196242,1
2196242,2196248,1
2196248,2196250,1
2196243,2196250,1
2196249,2196250,1
2261141,2261142,1
2182215,2182216,1
2241308,2241375,1
2241310,2241333,1
2241283,2241315,1
2241302,2241312,1
2241297,2241335,1
2241341,2241351,1
2241306,2241363,1
2241319,2241344,1
2241332,2241346,1
2241362,2241375,1
2174928,2174930,1
2174926,2174929,1
2174926,2174932,1
2174928,2174932,1
2174927,2174930,1
2174926,2174931,1
2174930,2174932,1
2174929,2174931,1
2174926,2174927,1
2174930,2174931,1
2240180,2240181,1
2262045,2262048,1
2262050,2262051,1
2262046,2262048,1
2262045,2262047,1
2262049,2262051,1
2262046,2262051,1
2262046,2262047,1
2262045,2262050,1
2262045,2262046,1
2262046,2262049,1
2252491,2252492,1
32515,32516,1
2263128,2263129,1
32522,32523,1
32522,32524,1
32522,32525,1
32523,32524,1
32523,32525,1
32524,32525,1
3335,3336,1
3335,3337,1
3335,3338,1
3336,3337,1
3336,3338,1
3337,3338,1
2294153,2294159,1
2294161,2294162,1
2294171,2294181,1
2294151,2294177,1
2294156,2294177,1
2294176,2294186,1
2294164,2294177,1
2294177,2294179,1
2294152,2294164,1
2294156,2294185,1
2222285,2222286,1
2204943,2204946,1
2204937,2204956,1
2204966,2204971,1
2204949,2204958,1
2204951,2204965,1
2204941,2204961,1
2204952,2204966,1
2204944,2204951,1
2204947,2204968,1
2204957,2204966,1
2215722,2215723,1
2215722,2215724,1
2215723,2215724,1
2285463,2285464,1
9577,9579,1
9575,9577,1
9576,9577,1
9577,9578,1
9575,9579,1
9578,9580,1
9575,9576,1
9578,9579,1
9577,9580,1
9575,9578,1
1319,1321,1
1323,1324,1
1321,1324,1
1319,1324,1
1322,1324,1
1319,1323,1
1321,1323,1
1322,1323,1
1320,1322,1
1321,1322,1
2211628,2211632,1
2211628,2211629,1
2211630,2211632,1
2211632,2211633,1
2211629,2211633,1
2211631,2211633,1
2211630,2211631,1
2211629,2211632,1
2211628,2211630,1
2211631,2211632,1
49729,49730,1
49729,49731,1
49730,49731,1
2248682,2248683,1
2248682,2248684,1
2248682,2248685,1
2248683,2248684,1
2248683,2248685,1
2248684,2248685,1
2167421,2167422,1
2250194,2250195,1
2250194,2250196,1
2250195,2250196,1
2250181,2250182,1
2250181,2250183,1
2250182,2250183,1
2187387,2187388,1
2163328,2163329,1
2163327,2163332,1
2163329,2163332,1
2163330,2163332,1
2163331,2163332,1
2163330,2163331,1
2163328,2163331,1
2163327,2163330,1
2163328,2163330,1
2163327,2163329,1
29928,29929,1
29928,29930,1
29929,29930,1
2192935,2192936,1
34033,34034,1
682,683,1
5564,5579,1
5563,5564,1
5568,5577,1
5575,5579,1
5565,5579,1
5567,5570,1
5570,5572,1
5564,5570,1
5563,5578,1
5565,5575,1
2276636,2276637,1
2276633,2276643,1
2276637,2276653,1
2276631,2276653,1
2276640,2276662,1
2276648,2276655,1
2276643,2276658,1
2276644,2276652,1
2276637,2276645,1
2276662,2276663,1
2249154,2249155,1
665447,665448,1
665447,665449,1
665447,665450,1
665448,665449,1
665448,665450,1
665449,665450,1
2297335,2297336,1
36421,36422,1
2215967,2215968,1
2185554,2185555,1
2185554,2185556,1
2185554,2185557,1
2185554,2185558,1
2185555,2185556,1
2185555,2185557,1
2185555,2185558,1
2185556,2185557,1
2185556,2185558,1
2185557,2185558,1
2287237,2287238,1
11466,11467,1
666800,666801,1
666798,666805,1
666799,666800,1
666802,666806,1
666801,666805,1
666800,666803,1
666800,666806,1
666804,666805,1
666799,666805,1
666802,666804,1
2230773,2230774,1
3484,3485,1
2222349,2222350,1
2222349,2222351,1
2222349,2222352,1
2222350,2222351,1
2222350,2222352,1
2222351,2222352,1
2249132,2249133,1
2270654,2270655,1
29751,29761,1
29750,29759,1
29750,29760,1
29751,29760,1
29751,29753,1
29752,29759,1
29757,29762,1
29754,29758,1
29755,29758,1
29760,29761,1
2153535,2153536,1
2153535,2153537,1
2153535,2153538,1
2153536,2153537,1
2153536,2153538,1
2153537,2153538,1
2219746,2219747,1
2219748,2219750,1
2219749,2219750,1
2219744,2219747,1
2219746,2219749,1
2219745,2219747,1
2219744,2219746,1
2219748,2219749,1
2219746,2219748,1
2219745,2219749,1
2171314,2171315,1
2171314,2171316,1
2171315,2171316,1
2121,2122,1
627638,627657,1
627654,627676,1
627672,627673,1
627647,627656,1
627668,627678,1
627654,627672,1
627641,627666,1
627639,627659,1
627667,627671,1
627646,627671,1
2195753,2195755,1
2195754,2195755,1
2195752,2195753,1
2195752,2195756,1
2195753,2195754,1
2195755,2195756,1
2195753,2195756,1
2195751,2195755,1
2195754,2195756,1
2195752,2195754,1
2245365,2245366,1
2190210,2190212,1
2190211,2190213,1
2190210,2190215,1
2190212,2190215,1
2190210,2190214,1
2190213,2190215,1
2190212,2190214,1
2190211,2190212,1
2190213,2190214,1
2190212,2190213,1
2163508,2163509,1
2163507,2163512,1
2163510,2163512,1
2163507,2163508,1
2163508,2163511,1
2163509,2163511,1
2163507,2163510,1
2163510,2163511,1
2163508,2163510,1
2163508,2163512,1
2171815,2171816,1
2171815,2171817,1
2171816,2171817,1
2252023,2252028,1
2252024,2252027,1
2252023,2252025,1
2252026,2252027,1
2252024,2252026,1
2252023,2252024,1
2252023,2252027,1
2252025,2252027,1
2252023,2252026,1
2252024,2252028,1
2185762,2185766,1
2185763,2185772,1
2185767,2185775,1
2185769,2185775,1
2185762,2185768,1
2185768,2185769,1
2185766,2185775,1
2185763,2185767,1
2185764,2185767,1
2185762,2185773,1
20633,20649,1
20637,20648,1
20643,20648,1
20633,20637,1
20629,20650,1
20634,20647,1
20641,20650,1
20630,20634,1
20633,20634,1
20638,20643,1
2210081,2210082,1
2257410,2257411,1
2299612,2299613,1
2223379,2223380,1
634136,634137,1
634136,634138,1
634136,634139,1
634137,634138,1
634137,634139,1
634138,634139,1
51816,51817,1
632042,632056,1
632063,632065,1
632040,632063,1
632044,632045,1
632029,632061,1
632042,632047,1
632040,632046,1
632027,632053,1
632042,632063,1
632049,632065,1
2157304,2157305,1
2160910,2160911,1
614489,614496,1
614496,614498,1
614498,614501,1
614491,614494,1
614492,614503,1
614498,614504,1
614489,614495,1
614491,614500,1
614489,614494,1
614499,614502,1
2229921,2229922,1
2229921,2229923,1
2229921,2229924,1
2229922,2229923,1
2229922,2229924,1
2229923,2229924,1
2254724,2254725,1
2254724,2254726,1
2254725,2254726,1
2225417,2225418,1
2264794,2264795,1
2264794,2264796,1
2264795,2264796,1
18207,18210,1
18208,18210,1
18206,18209,1
18209,18210,1
18207,18212,1
18206,18208,1
18207,18208,1
18206,18211,1
18209,18211,1
18207,18211,1
655859,655860,1
12013,12014,1
2210239,2210240,1
2210239,2210241,1
2210240,2210241,1
2215622,2215623,1
2271295,2271296,1
655279,655280,1
2273455,2273456,1
2273453,2273457,1
2273452,2273460,1
2273458,2273460,1
2273452,2273456,1
2273458,2273459,1
2273451,2273458,1
2273450,2273451,1
2273453,2273455,1
2273450,2273460,1
2176219,2176220,1
2248679,2248680,1
2248679,2248681,1
2248680,2248681,1
2218335,2218336,1
2218335,2218337,1
2218336,2218337,1
2153028,2153029,1
2153028,2153030,1
2153029,2153030,1
2278076,2278077,1
2228978,2228979,1
2228978,2228980,1
2228979,2228980,1
2264021,2264022,1
2264021,2264023,1
2264021,2264024,1
2264021,2264025,1
2264022,2264023,1
2264022,2264024,1
2264022,2264025,1
2264023,2264024,1
2264023,2264025,1
2264024,2264025,1
662348,662349,1
662348,662350,1
662349,662350,1
2291832,2291833,1
2196219,2196223,1
2196223,2196224,1
2196221,2196223,1
2196222,2196223,1
2196219,2196222,1
2196220,2196222,1
2196221,2196222,1
2196220,2196221,1
2196220,2196224,1
2196221,2196224,1
2262304,2262305,1
666032,666036,1
666026,666035,1
666029,666037,1
666026,666028,1
666023,666035,1
666025,666037,1
666029,666030,1
666026,666030,1
666035,666037,1
666028,666030,1
2247944,2247945,1
2170393,2170394,1
2170393,2170395,1
2170393,2170396,1
2170394,2170395,1
2170394,2170396,1
2170395,2170396,1
2209762,2209763,1
2250211,2250212,1
2250211,2250213,1
2250212,2250213,1
2157536,2157537,1
2157536,2157538,1
2157536,2157539,1
2157537,2157538,1
2157537,2157539,1
2157538,2157539,1
2634,2639,1
2633,2635,1
2634,2636,1
2638,2641,1
2639,2641,1
2634,2641,1
2633,2640,1
2636,2641,1
2633,2636,1
2638,2639,1
2209354,2209361,1
2209353,2209385,1
2209352,2209371,1
2209368,2209371,1
2209354,2209382,1
2209358,2209375,1
2209372,2209381,1
2209356,2209358,1
2209348,2209383,1
2209357,2209376,1
2243337,2243338,1
2243337,2243339,1
2243337,2243340,1
2243338,2243339,1
2243338,2243340,1
2243339,2243340,1
2233003,2233004,1
2164387,2164388,1
2255160,2255163,1
2255161,2255164,1
2255159,2255160,1
2255159,2255163,1
2255161,2255163,1
2255160,2255164,1
2255159,2255162,1
2255162,2255164,1
2255161,2255162,1
2255163,2255164,1
641550,641558,1
641551,641558,1
641553,641554,1
641555,641557,1
641550,641551,1
641550,641554,1
641554,641557,1
641555,641556,1
641552,641558,1
641551,641556,1
2260187,2260188,1
2183463,2183464,1
2193750,2193751,1
2248647,2248648,1
9840,9843,1
9843,9844,1
9839,9844,1
9842,9844,1
9840,9844,1
9840,9841,1
9842,9843,1
9839,9845,1
9841,9842,1
9841,9845,1
2277582,2277583,1
2277582,2277584,1
2277583,2277584,1
2157517,2157530,1
2157517,2157520,1
2157519,2157530,1
2157517,2157529,1
2157517,2157523,1
2157522,2157526,1
2157526,2157530,1
2157519,2157526,1
2157521,2157529,1
2157520,2157530,1
2223431,2223434,1
2223434,2223435,1
2223432,2223435,1
2223431,2223436,1
2223431,2223433,1
2223434,2223436,1
2223432,2223433,1
2223431,2223435,1
2223432,2223436,1
2223433,2223435,1
2163503,2163504,1
2163503,2163505,1
2163503,2163506,1
2163504,2163505,1
2163504,2163506,1
2163505,2163506,1
2299151,2299154,1
2299149,2299151,1
2299145,2299154,1
2299152,2299158,1
2299144,2299147,1
2299143,2299150,1
2299145,2299156,1
2299151,2299155,1
2299147,2299152,1
2299144,2299146,1
2300654,2300655,1
2300654,2300656,1
2300654,2300657,1
2300654,2300658,1
2300655,2300656,1
2300655,2300657,1
2300655,2300658,1
2300656,2300657,1
2300656,2300658,1
2300657,2300658,1
2226447,2226448,1
2250896,2250897,1
2252187,2252188,1
2171221,2171222,1
2223121,2223122,1
2196556,2196557,1
1615,1616,1
2156309,2156310,1
2252831,2252832,1
2252832,2252837,1
2252831,2252835,1
2252835,2252837,1
2252831,2252837,1
2252831,2252833,1
2252837,2252838,1
2252831,2252836,1
2252833,2252838,1
2252833,2252835,1
2296177,2296178,1
2285020,2285021,1
2229606,2229607,1
619266,619267,1
619266,619268,1
619266,619269,1
619266,619270,1
619267,619268,1
619267,619269,1
619267,619270,1
619268,619269,1
619268,619270,1
619269,619270,1
2262354,2262355,1
2262354,2262356,1
2262354,2262357,1
2262355,2262356,1
2262355,2262357,1
2262356,2262357,1
2211478,2211479,1
29875,29876,1
2158008,2158009,1
2158008,2158010,1
2158009,2158010,1
2294966,2295065,1
2295052,2295056,1
2294991,2295047,1
2294964,2294987,1
2295031,2295048,1
2294982,2295060,1
2295058,2295069,1
2294978,2295005,1
2294999,2295069,1
2294961,2294982,1
2272284,2272290,1
2272286,2272287,1
2272285,2272286,1
2272283,2272287,1
2272285,2272292,1
2272291,2272292,1
2272284,2272291,1
2272288,2272292,1
2272283,2272288,1
2272284,2272287,1
2270005,2270006,1
2270005,2270007,1
2270006,2270007,1
2234114,2234115,1
2193806,2193807,1
2193803,2193804,1
2193805,2193806,1
2193803,2193807,1
2193804,2193807,1
2193802,2193806,1
2193803,2193806,1
2193802,2193805,1
2193803,2193805,1
2193804,2193805,1
2177550,2177551,1
2177550,2177552,1
2177551,2177552,1
23537,23538,1
23537,23539,1
23537,23540,1
23538,23539,1
23538,23540,1
23539,23540,1
2189608,2189609,1
2277964,2277965,1
2178841,2178843,1
2178841,2178842,1
2178841,2178845,1
2178840,2178843,1
2178838,2178842,1
2178840,2178842,1
2178840,2178845,1
2178842,2178844,1
2178839,2178840,1
2178839,2178843,1
2195589,2195593,1
2195588,2195591,1
2195589,2195590,1
2195592,2195593,1
2195589,2195592,1
2195588,2195590,1
2195591,2195592,1
2195589,2195591,1
2195587,2195592,1
2195588,2195592,1
2218330,2218331,1
2218330,2218332,1
2218331,2218332,1
2263381,2263382,1
2263381,2263383,1
2263382,2263383,1
2276359,2276360,1
2276359,2276361,1
2276359,2276362,1
2276359,2276363,1
2276360,2276361,1
2276360,2276362,1
2276360,2276363,1
2276361,2276362,1
2276361,2276363,1
2276362,2276363,1
2244246,2244247,1
2244242,2244244,1
2244242,2244247,1
2244242,2244243,1
2244245,2244247,1
2244243,2244245,1
2244244,2244245,1
2244245,2244246,1
2244243,2244244,1
2244243,2244247,1
2260380,2260381,1
664762,664767,1
664762,664763,1
664763,664766,1
664764,664765,1
664761,664763,1
664762,664765,1
664761,664765,1
664762,664764,1
664761,664762,1
664764,664766,1
2295718,2295719,1
2295719,2295724,1
2295719,2295720,1
2295718,2295722,1
2295722,2295725,1
2295718,2295720,1
2295718,2295723,1
2295721,2295724,1
2295719,2295721,1
2295720,2295724,1
646900,646901,1
646904,646905,1
646899,646900,1
646899,646903,1
646901,646903,1
646899,646902,1
646900,646902,1
646901,646902,1
646903,646904,1
646901,646905,1
631376,631381,1
631378,631384,1
631375,631386,1
631380,631383,1
631378,631386,1
631374,631380,1
631378,631382,1
631384,631387,1
631375,631384,1
631375,631387,1
17155,17156,1
2177894,2177898,1
2177893,2177896,1
2177897,2177899,1
2177899,2177900,1
2177891,2177900,1
2177895,2177897,1
2177891,2177899,1
2177893,2177897,1
2177895,2177896,1
2177892,2177893,1
20926,20927,1
20926,20928,1
20926,20929,1
20926,20930,1
20927,20928,1
20927,20929,1
20927,20930,1
20928,20929,1
20928,20930,1
20929,20930,1
2264972,2264973,1
2264972,2264974,1
2264973,2264974,1
2252125,2252126,1
2266604,2266605,1
647406,647409,1
647399,647424,1
647383,647417,1
647403,647410,1
647379,647393,1
647382,647390,1
647388,647403,1
647388,647409,1
647409,647413,1
647375,647415,1
660805,660806,1
660805,660807,1
660805,660808,1
660805,660809,1
660806,660807,1
660806,660808,1
660806,660809,1
660807,660808,1
660807,660809,1
660808,660809,1
40234,40236,1
40233,40234,1
40234,40239,1
40233,40237,1
40235,40239,1
40236,40238,1
40233,40236,1
40234,40235,1
40233,40239,1
40237,40238,1
2167114,2167115,1
2265650,2265651,1
2174385,2174391,1
2174386,2174390,1
2174387,2174390,1
2174385,2174390,1
2174388,2174390,1
2174386,2174389,1
2174385,2174387,1
2174385,2174386,1
2174386,2174391,1
2174388,2174391,1
2219940,2219941,1
2276978,2276979,1
2276978,2276980,1
2276979,2276980,1
2225093,2225094,1
2225093,2225095,1
2225094,2225095,1
2159382,2159384,1
2159380,2159381,1
2159382,2159383,1
2159380,2159384,1
2159381,2159385,1
2159380,2159383,1
2159382,2159385,1
2159380,2159385,1
2159381,2159384,1
2159380,2159382,1
2226396,2226397,1
2226396,2226398,1
2226396,2226399,1
2226397,2226398,1
2226397,2226399,1
2226398,2226399,1
25601,25606,1
25602,25603,1
25603,25608,1
25601,25605,1
25603,25607,1
25606,25608,1
25602,25605,1
25602,25608,1
25606,25607,1
25601,25607,1
2249841,2249842,1
2244309,2244315,1
2244304,2244315,1
2244307,2244316,1
2244306,2244320,1
2244302,2244312,1
2244313,2244316,1
2244308,2244313,1
2244309,2244319,1
2244303,2244314,1
2244309,2244312,1
617131,617132,1
617130,617135,1
617132,617136,1
617133,617136,1
617134,617136,1
617132,617135,1
617133,617135,1
617130,617131,1
617131,617134,1
617132,617134,1
2270809,2270810,1
37104,37105,1
37104,37106,1
37104,37107,1
37105,37106,1
37105,37107,1
37106,37107,1
2286293,2286294,1
2286293,2286295,1
2286294,2286295,1
2292274,2292275,1
2292274,2292276,1
2292274,2292277,1
2292275,2292276,1
2292275,2292277,1
2292276,2292277,1
668486,668488,1
668488,668490,1
668489,668490,1
668487,668489,1
668486,668487,1
668488,668489,1
668485,668488,1
668486,668489,1
668485,668487,1
668485,668490,1
2247416,2247417,1
2162113,2162127,1
2162109,2162121,1
2162111,2162114,1
2162116,2162117,1
2162113,2162123,1
2162108,2162113,1
2162106,2162107,1
2162113,2162116,1
2162118,2162125,1
2162113,2162115,1
660677,660678,1
2231362,2231363,1
2231362,2231364,1
2231363,2231364,1
2216601,2216602,1
2216601,2216603,1
2216601,2216604,1
2216601,2216605,1
2216602,2216603,1
2216602,2216604,1
2216602,2216605,1
2216603,2216604,1
2216603,2216605,1
2216604,2216605,1
629911,629914,1
629910,629912,1
629910,629915,1
629913,629914,1
629910,629911,1
629911,629913,1
629909,629913,1
629912,629914,1
629910,629913,1
629911,629912,1
2170241,2170243,1
2170239,2170242,1
2170242,2170243,1
2170238,2170240,1
2170244,2170245,1
2170239,2170241,1
2170243,2170244,1
2170240,2170241,1
2170242,2170244,1
2170241,2170244,1
654104,654114,1
654107,654113,1
654106,654110,1
654104,654113,1
654105,654113,1
654108,654109,1
654110,654114,1
654105,654109,1
654107,654111,1
654105,654112,1
2259003,2259004,1
2259003,2259005,1
2259003,2259006,1
2259004,2259005,1
2259004,2259006,1
2259005,2259006,1
20135,20138,1
20134,20141,1
20136,20138,1
20134,20137,1
20138,20141,1
20135,20140,1
20135,20137,1
20136,20137,1
20138,20140,1
20134,20135,1
2201421,2201422,1
2201421,2201423,1
2201421,2201424,1
2201421,2201425,1
2201422,2201423,1
2201422,2201424,1
2201422,2201425,1
2201423,2201424,1
2201423,2201425,1
2201424,2201425,1
626259,626265,1
626253,626279,1
626256,626271,1
626270,626273,1
626255,626262,1
626267,626270,1
626262,626268,1
626266,626271,1
626255,626280,1
626260,626273,1
2155313,2155314,1
22261,22262,1
623719,623732,1
623722,623726,1
623737,623753,1
623732,623733,1
623719,623744,1
623721,623752,1
623734,623748,1
623719,623727,1
623730,623751,1
623723,623739,1
2260866,2260867,1
2260866,2260868,1
2260866,2260869,1
2260867,2260868,1
2260867,2260869,1
2260868,2260869,1
2248462,2248463,1
2248462,2248464,1
2248463,2248464,1
611930,611935,1
611928,611934,1
611926,611935,1
611928,611931,1
611928,611937,1
611926,611934,1
611928,611930,1
611935,611936,1
611936,611938,1
611925,611926,1
25271,25273,1
25265,25268,1
25264,25271,1
25270,25272,1
25263,25272,1
25268,25271,1
25266,25268,1
25266,25271,1
25268,25273,1
25266,25270,1
2276391,2276392,1
2276391,2276393,1
2276392,2276393,1
2285654,2285655,1
2285653,2285658,1
2285660,2285661,1
2285654,2285658,1
2285654,2285657,1
2285654,2285660,1
2285656,2285657,1
2285657,2285659,1
2285654,2285656,1
2285656,2285659,1
2299273,2299274,1
2299273,2299275,1
2299273,2299276,1
2299274,2299275,1
2299274,2299276,1
2299275,2299276,1
2244857,2244858,1
621530,621534,1
621522,621524,1
621524,621526,1
621528,621533,1
621521,621532,1
621526,621529,1
621524,621528,1
621523,621526,1
621531,621534,1
621521,621534,1
2191801,2191802,1
2243937,2243938,1
2193887,2193888,1
2193887,2193889,1
2193888,2193889,1
37021,37027,1
37021,37024,1
37023,37027,1
37020,37023,1
37021,37023,1
37024,37025,1
37021,37025,1
37020,37022,1
37021,37022,1
37025,37027,1
2173576,2173577,1
2173576,2173578,1
2173576,2173579,1
2173577,2173578,1
2173577,2173579,1
2173578,2173579,1
31750,31751,1
31750,31752,1
31751,31752,1
2211813,2211814,1
2211813,2211815,1
2211813,2211816,1
2211813,2211817,1
2211814,2211815,1
2211814,2211816,1
2211814,2211817,1
2211815,2211816,1
2211815,2211817,1
2211816,2211817,1
17740,17741,1
641542,641543,1
8044,8045,1
8044,8046,1
8045,8046,1
2297221,2297222,1
2245227,2245228,1
2288075,2288080,1
2288084,2288087,1
2288079,2288087,1
2288073,2288096,1
2288079,2288096,1
2288071,2288093,1
2288079,2288086,1
2288079,2288092,1
2288081,2288088,1
2288073,2288084,1
5810,5811,1
2231564,2231565,1
617528,617529,1
